userId,movieId,rating
435,647,5
377,91,3
419,216,5
264,768,1
632,294,1
534,592,3
467,87,3
539,403,5
387,548,2
650,1527,3
387,313,2
454,101,4
28,333,5
930,144,3
643,818,5
831,1107,3
52,947,2
442,585,2
475,136,3
439,563,1
376,1340,4
447,476,4
37,93,4
325,480,4
181,323,2
818,671,4
83,635,4
752,719,4
931,371,3
546,528,5
191,113,5
453,225,4
528,423,4
312,458,2
890,413,5
437,1223,3
842,622,3
805,104,2
428,707,3
562,1127,5
70,76,3
273,1170,1
58,365,5
47,217,4
38,1151,4
111,622,4
409,654,5
802,413,3
685,293,3
519,373,4
837,139,4
377,145,4
248,110,3
13,480,4
83,240,5
406,730,4
54,83,4
837,16,3
38,168,5
41,927,2
466,309,3
394,162,4
837,179,5
1,899,4
112,275,2
496,96,4
624,420,5
626,405,3
913,350,4
91,433,5
111,236,5
334,213,4
534,454,3
119,103,4
522,52,5
896,121,2
646,57,3
715,49,4
868,491,3
713,570,3
27,190,2
348,657,4
3,24,4
294,652,2
633,217,2
466,1049,2
58,439,1
240,148,5
907,591,2
530,661,4
778,1405,4
865,1453,5
762,339,3
892,58,4
856,156,5
441,294,5
778,969,3
484,1076,3
576,566,5
658,254,3
710,86,2
3,849,4
30,140,5
11,158,1
333,140,3
67,1253,3
875,1,5
144,216,5
118,239,5
14,705,3
467,360,3
138,1179,5
784,373,3
878,432,4
40,289,4
72,973,4
677,1027,1
530,145,4
884,320,5
126,158,5
496,226,3
864,366,3
341,347,4
311,82,3
544,881,3
644,200,3
52,148,5
534,694,4
883,181,3
286,40,4
404,66,4
704,125,5
19,989,4
99,24,2
530,446,4
476,269,3
627,559,4
551,231,4
23,388,3
728,156,3
377,201,3
756,378,3
499,725,3
841,309,4
885,103,3
705,435,4
281,179,3
511,514,3
15,435,5
379,232,4
30,307,4
165,260,4
10,707,3
30,136,4
674,297,5
492,454,2
730,204,4
914,297,4
47,480,4
803,10,4
548,622,4
24,136,3
409,591,3
333,220,4
185,112,5
30,1151,3
546,72,5
15,367,5
633,197,4
12,781,4
116,232,5
409,376,5
937,37,3
93,601,4
633,205,4
661,204,2
546,351,5
10,108,3
646,159,3
835,758,3
162,270,4
440,24,3
64,366,4
892,807,4
169,1276,3
694,289,3
802,750,4
533,643,5
841,254,4
551,360,4
12,309,4
133,719,5
531,38,3
860,1145,4
651,87,4
501,729,5
75,409,5
808,362,3
52,136,3
431,20,4
534,591,2
464,238,4
18,181,2
547,1,5
118,342,3
703,231,3
728,452,3
281,148,5
834,423,4
390,95,4
720,720,4
499,25,4
147,573,3
856,905,4
892,144,2
605,140,4
674,164,3
893,292,3
802,309,3
486,768,1
208,112,5
791,29,4
683,340,3
633,1118,2
79,153,5
647,404,3
404,49,4
587,29,2
58,171,4
795,273,3
134,519,2
38,1040,5
52,956,4
406,1343,4
440,256,5
97,452,4
52,433,2
706,182,3
38,182,4
231,235,5
579,698,3
912,131,3
158,290,5
534,867,4
199,175,2
800,365,4
406,288,4
315,834,4
22,821,4
747,324,2
473,25,4
405,758,3
239,1023,2
409,973,4
942,1023,2
86,443,5
771,259,3
655,488,3
442,107,2
402,243,1
694,671,4
90,1122,3
447,471,4
532,218,4
263,695,5
523,145,4
19,257,4
223,28,4
644,165,3
602,1006,1
617,179,4
745,936,4
379,194,1
571,950,4
618,273,4
258,72,2
116,11,3
928,408,5
914,10,3
787,95,4
885,293,3
136,170,4
790,1482,3
105,525,1
58,1005,4
596,692,4
196,87,3
328,512,4
9,337,3
402,1517,2
704,640,4
739,914,4
785,484,2
939,648,5
941,157,4
127,831,3
248,179,5
547,269,3
671,652,3
38,529,3
2,622,5
669,24,5
897,266,2
633,610,1
526,404,4
167,382,3
248,120,4
377,100,4
465,103,4
457,136,3
118,1196,4
730,36,4
519,317,4
131,31,5
559,960,3
81,355,5
618,547,5
3,1143,3
750,881,4
182,864,4
678,578,3
26,340,2
70,85,1
37,253,4
546,179,4
750,136,4
181,240,2
768,571,4
390,182,5
811,1058,1
748,140,4
304,367,4
2,836,1
90,971,3
534,169,4
906,51,2
646,601,4
705,15,5
847,173,3
706,1114,4
356,774,3
384,601,4
417,571,4
650,1025,3
387,1446,3
195,473,4
72,599,2
313,130,5
222,30,5
835,433,2
684,260,5
8,250,4
309,676,3
20,794,4
555,58,3
342,61,2
118,863,3
617,338,4
454,121,3
37,652,4
47,120,4
716,536,4
652,38,3
120,144,1
476,151,3
826,191,2
24,1035,2
116,698,5
58,1363,2
752,405,5
100,436,4
637,101,4
235,236,4
90,272,3
770,319,4
