userId,movieId,tag,timestamp
40,6467,Why the terrorists hate us,1215135611
40,2100,The Director Should be given a grammy,1215135517
66,336,tissit,1162160415
69,731,want to own,1176691425
117,1320,horror,1188265347
117,1320,killer,1188265347
117,1320,stalker,1188265347
117,2501,children,1188265367
117,2501,dogs,1188265367
117,2501,romantic,1188265367
117,1358,alone,1188265544
117,1358,robbers,1188265544
117,209,egypt,1188265509
117,209,mummy,1188265509
117,750,blonde,1188265463
117,750,dog,1188265463
117,750,funny,1188265463
117,844,horror,1188265447
117,844,scary,1188265447
117,902,hacker,1188265437
117,902,matrix,1188265437
117,902,neo,1188265437
117,1216,death,1188265408
117,1216,dream,1188265408
117,1216,fantasy,1188265408
117,1216,life,1188265408
117,1216,stories,1188265408
117,2452,bush,1188265497
117,2452,comedy,1188265497
117,2452,government,1188265497
157,6312,Nudity (Topless),1162209176
162,2727,skullduggery,1188441420
162,3854,bad ending,1192990133
176,367,anime,1151700107
176,1463,anime,1151700139
176,1248,high fantasy,1140037169
176,2081,anime,1151700125
176,1710,anime,1151699945
176,711,high fantasy,1140032030
176,798,high fantasy,1140037056
176,3411,high fantasy,1140032022
176,4136,anime,1151700015
176,3269,anime,1208365260
176,3620,anime,1151699986
176,2895,anime,1151699951
176,3064,anime,1151700035
176,60,high fantasy,1140037068
176,3274,anime,1151699978
176,3704,anime,1151700010
176,2896,anime,1151700002
176,3720,anime,1151700128
176,3281,anime,1151699959
176,64,high fantasy,1140031954
176,4461,anime,1151700134
176,3298,anime,1151700111
176,988,anime,1208365236
176,4143,anime,1208365205
176,2899,anime,1151699969
176,4144,anime,1151700026
208,4030,not to be taken seriously,1188267261
233,2302,Nudity (Topless - Brief),1162271746
251,866,super-hero,1192049634
306,213,complicated,1185486223
306,213,must be seen more than once,1185663289
306,1494,Edward Norton unbelievably good,1172743571
306,1129,Dr House with more make-up,1172743670
306,5402,great music,1185663327
306,1964,Bit overrated,1149994738
306,2267,Bit overrated,1172742942
306,3375,Kate Hudson looking hot in dream scene,1156890775
306,3770,not funny,1185138586
306,5408,Definite chick flick,1172742980
363,5229,Akira Kurosawa,1198478268
363,5229,dreamlike,1198478298
363,4512,anti hero,1161746702
363,6366,foreign,1161746766
363,2997,Nudity (Topless - Brief),1211432826
453,399,MontyPython,1139963005
453,3765,Australian,1152314023
454,1293,Frankly the most watchable film ever made,1188312903
454,2048,Great. Surprise excellence from Mrs.Cobain,1188311498
454,400,but a fun comedy.,1188311560
454,400,Long time no see,1188311560
